85400,Chunian,NULL,NULL
85401,Chāgai District,NULL,NULL
85402,Dadhar,NULL,NULL
85403,Dadu,NULL,NULL
85404,Daira Din Panah,NULL,NULL
85405,Dajal,NULL,NULL
85406,Dalbandin,NULL,NULL
85407,Dandot RS,NULL,NULL
85408,Daromehar,NULL,NULL
85409,Darya Khan,NULL,NULL
85410,Darya Khan Marri,NULL,NULL
85411,Daska,NULL,NULL
85413,Daulatpur,NULL,NULL
85414,Daultala,NULL,NULL
85415,Daur,NULL,NULL
85416,Dera Bugti,NULL,NULL
85417,Dera Bugti District,NULL,NULL
85418,Dera Ghazi Khan,NULL,NULL
85419,Dera Ismail Khan,NULL,NULL
85420,Dera Ismāīl Khān District,NULL,NULL
85421,Dhanot,NULL,NULL
85422,Dhaunkal,NULL,NULL
85423,Dhoro Naro,NULL,NULL
85424,Digri,NULL,NULL
85425,Dijkot,NULL,NULL
85426,Dinan Bashnoian Wala,NULL,NULL
85427,Dinga,NULL,NULL
85428,Dipalpur,NULL,NULL
85429,Diplo,NULL,NULL
85430,Doaba,NULL,NULL
85431,Dokri,NULL,NULL
85432,Duki,NULL,NULL
85433,Dullewala,NULL,NULL
85434,Dunga Bunga,NULL,NULL
85435,Dunyapur,NULL,NULL
85436,Eminabad,NULL,NULL
85437,Faisalabad,NULL,NULL
85438,Faqirwali,NULL,NULL
85439,Faruka,NULL,NULL
85440,Fazilpur,NULL,NULL
85441,Fort Abbas,NULL,NULL
85442,Gadani,NULL,NULL
85443,Gambat,NULL,NULL
85444,Garh Maharaja,NULL,NULL
85445,Garhi Khairo,NULL,NULL
85446,Garhiyasin,NULL,NULL
85447,Gharo,NULL,NULL
85448,Ghauspur,NULL,NULL
85449,Ghotki,NULL,NULL
85450,Gilgit,NULL,NULL
85451,Gojra,NULL,NULL
85452,Goth Garelo,NULL,NULL
85453,Goth Phulji,NULL,NULL
85454,Goth Radhan,NULL,NULL
85455,Gujar Khan,NULL,NULL
85456,Gujranwala,NULL,NULL
85457,Gujrat,NULL,NULL
85458,Gulishah Kach,NULL,NULL
85459,Gwadar,NULL,NULL
85460,Hadali,NULL,NULL
85461,Hafizabad,NULL,NULL
85462,Hala,NULL,NULL
85463,Hangu,NULL,NULL
85464,Haripur,NULL,NULL
85465,Harnai,NULL,NULL
85466,Harnoli,NULL,NULL
85467,Harunabad,NULL,NULL
85468,Hasilpur,NULL,NULL
85469,Haveli Lakha,NULL,NULL
85470,Havelian,NULL,NULL
85471,Hazro,NULL,NULL
85472,Hingorja,NULL,NULL
85473,Hujra Shah Muqeem,NULL,NULL
85474,Hyderabad,NULL,NULL
85475,Islamabad,NULL,NULL
85476,Islamkot,NULL,NULL
85477,Jacobabad,NULL,NULL
85478,Jahanian Shah,NULL,NULL
85479,Jalalpur Jattan,NULL,NULL
85480,Jalalpur Pirwala,NULL,NULL
85481,Jampur,NULL,NULL
85482,Jamshoro,NULL,NULL
85483,Jand,NULL,NULL
85484,Jandiala Sher Khan,NULL,NULL
85485,Jaranwala,NULL,NULL
85486,Jati,NULL,NULL
85487,Jatoi Shimali,NULL,NULL
85488,Jauharabad,NULL,NULL
85489,Jhal Magsi District,NULL,NULL
85490,Jhang,NULL,NULL
85491,Jhang Sadar,NULL,NULL
85492,Jhawarian,NULL,NULL
85493,Jhelum,NULL,NULL
85494,Jhol,NULL,NULL
85495,Jiwani,NULL,NULL
85496,Johi,NULL,NULL
85497,Jāfarābād District,NULL,NULL
85498,Jām Sāhib,NULL,NULL
85499,Kabirwala,NULL,NULL
85500,Kadhan,NULL,NULL
85501,Kahna Nau,NULL,NULL
85503,Kahuta,NULL,NULL
85504,Kakad Wari Dir Upper,NULL,NULL
85505,Kalabagh,NULL,NULL
85506,Kalaswala,NULL,NULL
85507,Kalat,NULL,NULL
85508,Kaleke Mandi,NULL,NULL
85509,Kallar Kahar,NULL,NULL
85510,Kalur Kot,NULL,NULL
85511,Kalāt District,NULL,NULL
85512,Kamalia,NULL,NULL
85513,Kamar Mushani,NULL,NULL
85514,Kambar,NULL,NULL
85515,Kamoke,NULL,NULL
85516,Kamra,NULL,NULL
85517,Kandhkot,NULL,NULL
85518,Kandiari,NULL,NULL
85519,Kandiaro,NULL,NULL
85520,Kanganpur,NULL,NULL
85521,Karachi,NULL,NULL
85522,Karak,NULL,NULL
85523,Karaundi,NULL,NULL
85524,Kario Ghanwar,NULL,NULL
85525,Karor,NULL,NULL
85526,Kashmor,NULL,NULL
85527,Kasur,NULL,NULL
85528,Keshupur,NULL,NULL
85529,Keti Bandar,NULL,NULL
85530,Khadan Khak,NULL,NULL
85531,Khadro,NULL,NULL
85532,Khairpur,NULL,NULL
85533,Khairpur Mir’s,NULL,NULL
85534,Khairpur Nathan Shah,NULL,NULL
85535,Khairpur Tamiwali,NULL,NULL
85536,Khalabat,NULL,NULL
85537,Khandowa,NULL,NULL
85538,Khanewal,NULL,NULL
85539,Khanga Dogran,NULL,NULL
85540,Khangarh,NULL,NULL
85541,Khanpur,NULL,NULL
85542,Khanpur Mahar,NULL,NULL
85543,Kharan,NULL,NULL
85544,Kharian,NULL,NULL
85545,Khewra,NULL,NULL
85546,Khurrianwala,NULL,NULL
85547,Khushab,NULL,NULL
85548,Khuzdar,NULL,NULL
85549,Khuzdār District,NULL,NULL
85550,Khārān District,NULL,NULL
85551,Kohat,NULL,NULL
85552,Kohlu,NULL,NULL
85553,Kot Addu Tehsil,NULL,NULL
85554,Kot Diji,NULL,NULL
85555,Kot Ghulam Muhammad,NULL,NULL
85556,Kot Malik Barkhurdar,NULL,NULL
85557,Kot Mumin,NULL,NULL
85558,Kot Radha Kishan,NULL,NULL
85559,Kot Rajkour,NULL,NULL
85560,Kot Samaba,NULL,NULL
85561,Kot Sultan,NULL,NULL
85562,Kotli,NULL,NULL
85563,Kotli District,NULL,NULL
85564,Kotli Loharan,NULL,NULL
85565,Kotri,NULL,NULL
85566,Kulachi,NULL,NULL
85567,Kundian,NULL,NULL
85568,Kunjah,NULL,NULL
85569,Kunri,NULL,NULL
85570,Lachi,NULL,NULL
85571,Ladhewala Waraich,NULL,NULL
85572,Lahore,NULL,NULL
85573,Lakhi,NULL,NULL
85574,Lakki,NULL,NULL
85575,Lala Musa,NULL,NULL
85576,Lalian,NULL,NULL
85577,Landi Kotal,NULL,NULL
85578,Larkana,NULL,NULL
85579,Lasbela District,NULL,NULL
85580,Layyah,NULL,NULL
85581,Layyah District,NULL,NULL
85582,Liliani,NULL,NULL
85583,Lodhran,NULL,NULL
85584,Loralai,NULL,NULL
85585,Loralai District,NULL,NULL
85586,Mach,NULL,NULL
85587,Madeji,NULL,NULL
85588,Mailsi,NULL,NULL
85589,Malakwal,NULL,NULL
85590,Malakwal City,NULL,NULL
85591,Malir Cantonment,NULL,NULL
85592,Mamu Kanjan,NULL,NULL
85593,Mananwala,NULL,NULL
85594,Mandi Bahauddin,NULL,NULL
85595,Mangla,NULL,NULL
85596,Mankera,NULL,NULL
85597,Mansehra,NULL,NULL
85598,Mardan,NULL,NULL
85599,Mastung,NULL,NULL
85600,Mastung District,NULL,NULL
85601,Matiari,NULL,NULL
85602,Matli,NULL,NULL
85603,Mehar,NULL,NULL
85604,Mehmand Chak,NULL,NULL
85605,Mehrabpur,NULL,NULL
85606,Mian Channun,NULL,NULL
85607,Mianke Mor,NULL,NULL
85608,Mianwali,NULL,NULL
85609,Minchinabad,NULL,NULL
85610,Mingora,NULL,NULL
85611,Miran Shah,NULL,NULL
85612,Miro Khan,NULL,NULL
85613,Mirpur Bhtoro,NULL,NULL
85614,Mirpur District,NULL,NULL
85615,Mirpur Khas,NULL,NULL
85616,Mirpur Mathelo,NULL,NULL
85617,Mirpur Sakro,NULL,NULL
85618,Mirwah Gorchani,NULL,NULL
85619,Mitha Tiwana,NULL,NULL
85620,Mithi,NULL,NULL
85621,Moro,NULL,NULL
85622,Moza Shahwala,NULL,NULL
85623,Multan,NULL,NULL
85624,Muridke,NULL,NULL
85625,Murree,NULL,NULL
85626,Mustafabad,NULL,NULL
85627,Muzaffargarh,NULL,NULL
85628,Muzaffarābād,NULL,NULL
85629,Mūsa Khel District,NULL,NULL
85630,Nabisar,NULL,NULL
85631,Nankana Sahib,NULL,NULL
85632,Narang Mandi,NULL,NULL
85633,Narowal,NULL,NULL
85634,Nasirabad,NULL,NULL
85635,Nasīrābād District,NULL,NULL
85636,Naudero,NULL,NULL
85637,Naukot,NULL,NULL
85638,Naushahra Virkan,NULL,NULL
85639,Naushahro Firoz,NULL,NULL
85640,Nawabshah,NULL,NULL
85641,Nazir Town,NULL,NULL
85642,New Bādāh,NULL,NULL
85643,New Mirpur,NULL,NULL
85644,Noorabad,NULL,NULL
85645,North Wazīristān Agency,NULL,NULL
85646,Nowshera,NULL,NULL
85647,Nowshera Cantonment,NULL,NULL
85648,Nushki,NULL,NULL
85650,Okara,NULL,NULL
85651,Ormara,NULL,NULL
85652,Pabbi,NULL,NULL
85653,Pad Idan,NULL,NULL
85654,Paharpur,NULL,NULL
85655,Pakpattan,NULL,NULL
85656,Panjgūr District,NULL,NULL
85657,Pano Aqil,NULL,NULL
85658,Pasni,NULL,NULL
85659,Pasrur,NULL,NULL
85660,Pattoki,NULL,NULL
85661,Peshawar,NULL,NULL
85662,Phalia,NULL,NULL
85663,Pind Dadan Khan,NULL,NULL
85664,Pindi Bhattian,NULL,NULL
85665,Pindi Gheb,NULL,NULL
85666,Pir Jo Goth,NULL,NULL
85667,Pir Mahal,NULL,NULL
85668,Pishin,NULL,NULL
85669,Pithoro,NULL,NULL
85670,Qadirpur Ran,NULL,NULL
85671,Qila Saifullāh District,NULL,NULL
85672,Quetta,NULL,NULL
85673,Quetta District,NULL,NULL
85674,Rahim Yar Khan,NULL,NULL
85675,Raiwind,NULL,NULL
85676,Raja Jang,NULL,NULL
85677,Rajanpur,NULL,NULL
85678,Rajo Khanani,NULL,NULL
85679,Ranipur,NULL,NULL
85680,Rasulnagar,NULL,NULL
85681,Ratodero,NULL,NULL
85682,Rawala Kot,NULL,NULL
85683,Rawalpindi,NULL,NULL
85684,Rawalpindi District,NULL,NULL
85685,Renala Khurd,NULL,NULL
85686,Risalpur Cantonment,NULL,NULL
85687,Rohri,NULL,NULL
85688,Rojhan,NULL,NULL
85689,Rustam,NULL,NULL
85690,Sadiqabad,NULL,NULL
85691,Sahiwal,NULL,NULL
85692,Sakrand,NULL,NULL
85693,Samaro,NULL,NULL
85694,Sambrial,NULL,NULL
85695,Sanghar,NULL,NULL
85696,Sangla Hill,NULL,NULL
85697,Sanjwal,NULL,NULL
85698,Sann,NULL,NULL
85699,Sarai Alamgir,NULL,NULL
85700,Sarai Naurang,NULL,NULL
85701,Sarai Sidhu,NULL,NULL
85702,Sargodha,NULL,NULL
85703,Sehwan,NULL,NULL
85704,Setharja Old,NULL,NULL
85705,Shabqadar,NULL,NULL
85706,Shahdad Kot,NULL,NULL
85707,Shahdadpur,NULL,NULL
85708,Shorkot,NULL,NULL
85709,Shahpur,NULL,NULL
85710,Shahpur Chakar,NULL,NULL
85711,Shahr Sultan,NULL,NULL
85712,Shakargarh,NULL,NULL
85713,Sharqpur,NULL,NULL
85714,Sheikhupura,NULL,NULL
85715,Shikarpur,NULL,NULL
85716,Shingli Bala,NULL,NULL
85717,Shinpokh,NULL,NULL
85718,Shorkot,NULL,NULL
85719,Shujaabad,NULL,NULL
85720,Sialkot,NULL,NULL
85721,Sibi,NULL,NULL
85722,Sillanwali,NULL,NULL
85723,Sinjhoro,NULL,NULL
85724,Skardu,NULL,NULL
85725,Sobhodero,NULL,NULL
85726,Sodhra,NULL,NULL
85727,Sohbatpur,NULL,NULL
85728,South Waziristan Agency,NULL,NULL
85729,Sukheke Mandi,NULL,NULL
85730,Sukkur,NULL,NULL
85731,Surab,NULL,NULL
85732,Surkhpur,NULL,NULL
85733,Swabi,NULL,NULL
85734,Sīta Road,NULL,NULL
85735,Talagang,NULL,NULL
85736,Talamba,NULL,NULL
85737,Talhar,NULL,NULL
85738,Tandlianwala,NULL,NULL
85739,Tando Adam,NULL,NULL
85740,Tando Allahyar,NULL,NULL
85741,Tando Bago,NULL,NULL
85742,Tando Jam,NULL,NULL
85743,Tando Mitha Khan,NULL,NULL
85744,Tando Muhammad Khan,NULL,NULL
85745,Tangi,NULL,NULL
85746,Tangwani,NULL,NULL
85747,Tank,NULL,NULL
85748,Taunsa,NULL,NULL
85749,Thal,NULL,NULL
85750,Tharu Shah,NULL,NULL
85751,Thatta,NULL,NULL
85752,Thul,NULL,NULL
85753,Toba Tek Singh,NULL,NULL
85754,Topi,NULL,NULL
85755,Turbat,NULL,NULL
85756,Ubauro,NULL,NULL
85757,Umarkot,NULL,NULL
85758,Umerkot District,NULL,NULL
85759,Upper Dir,NULL,NULL
85760,Usta Muhammad,NULL,NULL
85761,Uthal,NULL,NULL
85762,Utmanzai,NULL,NULL
85763,Vihari,NULL,NULL
85764,Wana,NULL,NULL
85765,Warah,NULL,NULL
85766,Wazirabad,NULL,NULL
85767,Yazman,NULL,NULL
85768,Zafarwal,NULL,NULL
85769,Zahir Pir,NULL,NULL
85770,Zaida,NULL,NULL
85771,Zhob,NULL,NULL
85772,Zhob District,NULL,NULL
85773,Ziarat,NULL,NULL
85774,Ziārat District,NULL,NULL
143765,Chuhar Kana,NULL,NULL
143766,Dhok Awan,NULL,NULL
143767,Daud Khel,NULL,NULL
143768,Ferozewala,NULL,NULL
143769,Gujranwala Division,NULL,NULL
143770,Hasan Abdal,NULL,NULL
143771,Kohror Pakka,NULL,NULL
143772,Mandi Bahauddin District,NULL,NULL
143773,Multan District,NULL,NULL
143774,Pakki Shagwanwali,NULL,NULL
143775,Qila Didar Singh,NULL,NULL
143776,Rahimyar Khan District,NULL,NULL
143777,Shahkot Tehsil,NULL,NULL
143778,Umerkot,NULL,NULL
143779,Wah,NULL,NULL
143780,Warburton,NULL,NULL
143781,West Punjab,NULL,NULL
